sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Simon Danczuk","72","Rochdale","Labour","1591","3044","2626","http://sexymp.co.uk/mp/141.jpg","E14000897","65843","Rochdale","England","211900","103800","108100","1858","935","923","12","8","24","8.8","624.6","755.1","514.6","4","2.6","7.9","covered_by","E08000005"
"Mike Freer","73","Finchley and Golders Green","Conservative","1554","2948","2416","http://sexymp.co.uk/mp/212.jpg","E14000703","65938","Finchley and Golders Green","England","357500","173400","184100","2305","1038","1267","19","13","33","6.4","437.8","502","385.1","3.5","2.4","6","covered_by","E09000003"
"Ben Walker","74","Wyre and Preston North","Conservative","1509","3101","2380","http://sexymp.co.uk/mp/606.jpg","E14001057","65695","Wyre and Preston North","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
"Nicky Morgan","75","Loughborough","Conservative","1516","34650","26913","http://sexymp.co.uk/mp/432.jpg","E14000797","65785","Loughborough","England","165900","82800","83100","1360","683","677","6","6","13","8.2","501.1","609.3","410.8","3.4","3.4","7.2","covered_by","E07000130"
"Alec Shelbrooke","76","Elmet and Rothwell","Conservative","1408","3472","2262","http://sexymp.co.uk/mp/535.jpg","E14000689","65677","Elmet and Rothwell","England","750700","368000","382700","6362","3065","3297","43","33","98","8.5","578.9","682.4","493.6","4.2","3.3","9.6","covered_by","E08000035"
"John Glen","77","Salisbury","Conservative","1463","3184","2285","http://sexymp.co.uk/mp/228.jpg","E14000912","65889","Salisbury","England","474300","234300","240100","4138","1964","2174","19","17","39","8.7","476","553.2","413.3","3.5","3.1","7.1","covered_by","E06000054"
"Crispin Blunt","78","Reigate","Conservative","1517","3130","2449","http://sexymp.co.uk/mp/59.jpg","E14000893","66005","Reigate","England","138400","67700","70700","1237","539","698","3","2","10","8.9","470.5","542.8","402.7","1.6","0","5.3","covered_by","E07000211"
"Kevin Brennan","79","Cardiff West","Labour","1567","3154","2657","http://sexymp.co.uk/mp/69.jpg","W07000079","66114","Cardiff West","Wales","236050","115800","120250","1856.5","913","943.5","12","10.5","22","8.149999999999999","514.95","628.5999999999999","430.54999999999995","3.25","2.95","6.699999999999999","overlapped_by (calculated average)","W06000014,W06000015"
"Andy Burnham","80","Leigh","Labour","1548","3314","2713","http://sexymp.co.uk/mp/86.jpg","E14000785","65978","Leigh","England","318100","158100","160100","2915","1388","1527","13","8","30","9.2","624","705.2","551.9","3.3","2","7.5","covered_by","E08000010"
"Nic Dakin","81","Scunthorpe","Labour","1646","2856","2673","http://sexymp.co.uk/mp/140.jpg","E14000914","66027","Scunthorpe","England","167500","82600","84900","1638","792","846","11","7","19","9.8","566.2","659","492.7","5.9","3.7","10.1","covered_by","E06000013"
"Jon Ashworth","82","Leicester South","Labour","1575","2977","2541","http://sexymp.co.uk/mp/17.jpg","E14000783","65604","Leicester South","England","329600","163100","166600","2330","1185","1145","40","28","0","7.1","595.4","725.4","486.7","7.5","5.3","0","covered_by","E06000016"
"Graham Evans","83","Weaver Vale","Conservative","1601","2940","2600","http://sexymp.co.uk/mp/191.jpg","E14001024","65769","Weaver Vale","England","227600","110950","116650","2132","1024.5","1107.5","11.5","9.5","24","9.2","579","676.5999999999999","503.25","4.15","3.0999999999999996","9.15","overlapped_by (calculated average)","E06000006,E06000050"
"Eleanor Laing","84","Epping Forest","Conservative","1491","36120","27253","http://sexymp.co.uk/mp/344.jpg","E14000693","66044","Epping Forest","England","124900","60500","64400","1139","525","614","4","3","9","9.1","485.8","557.6","427.4","2.5","1.9","5.6","covered_by","E07000072"
"Maria Miller","85","Basingstoke","Conservative","1491","34569","26088","http://sexymp.co.uk/mp/423.jpg","E14000545","65623","Basingstoke","England","168600","83500","85000","1176","535","641","8","6","18","7","485.7","519.4","452.5","3.4","2.5","7.6","covered_by","E07000084"
"David Cameron","86","Witney","Conservative","1507","4150","3209","http://sexymp.co.uk/mp/97.jpg","E14001046","65622","Witney","England","105400","51900","53500","923","437","486","5","2","6","8.8","465.5","531.8","409.7","3.8","0","4.5","covered_by","E07000181"
"Eric Joyce","87","Falkirk","Labour","1598","2964","2615","http://sexymp.co.uk/mp/332.jpg","S14000028","14424","Falkirk","Scotland","154400","74900","79500","1548","771","777","7","5","13","10","660.3","792.8","558.3","4","2.8","7.4","covered_by","S12000014"
"Graeme Morris","88","Livingston","Labour","1739","2748","2880","http://sexymp.co.uk/mp/433.jpg","S14000044","14440","Livingston","Scotland","173000","84600","88400","1424","667","757","6","4","13","8.2","649.7","718","590.8","2.8","1.9","6.1","covered_by","S12000040"
"Julian Brazier","89","Canterbury","Conservative","1568","2954","2502","http://sexymp.co.uk/mp/68.jpg","E14000619","65878","Canterbury","England","150600","72600","78000","1481","693","788","5","4","8","9.8","490.3","591.9","410.2","3.4","2.7","5.4","covered_by","E07000106"
"Russell Brown","90","Dumfries and Galloway","Labour","1597","3018","2657","http://sexymp.co.uk/mp/77.jpg","S14000013","14410","Dumfries and Galloway","Scotland","148100","71700","76400","1707","800","907","3","2","2","11.5","569.3","649.5","503.3","2.1","0","0","covered_by","S12000006"
"Joseph Johnson","91","Orpington","Conservative","1401","3608","2351","http://sexymp.co.uk/mp/323.jpg","E14000872","65682","Orpington","England","310600","149200","161400","2530","1159","1371","8","5","24","8.1","453.5","531.7","389","1.9","1.2","5.8","covered_by","E09000006"
