sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Julian Brazier","98","Canterbury","Conservative","1526","3011","2548","http://sexymp.co.uk/mp/68.jpg","E14000619","65878","Canterbury","England","80.2","118","83.4","162","18.9","145","21.3","163","covered_by","E07000106"
"Kevin Brennan","99","Cardiff West","Labour","1527","3226","2729","http://sexymp.co.uk/mp/69.jpg","W07000079","66114","Cardiff West","Wales","78.9","211.5","83.05000000000001","199","18.200000000000003","233","21.4","152","overlapped_by (calculated average)","W06000014,W06000015"
"Stephen Crabb","100","Preseli Pembrokeshire","Conservative","1470","3233","2518","http://sexymp.co.uk/mp/128.jpg","W07000065","66102","Preseli Pembrokeshire","Wales","79.4","184","82.5","243","18.9","150","21","205","covered_by","W06000009"
"Robert Flello","101","Stoke-on-Trent South","Labour","1559","3072","2727","http://sexymp.co.uk/mp/203.jpg","E14000974","65770","Stoke-on-Trent South","England","76.7","332","80.5","338","17.2","327","19.8","322","covered_by","E06000021"
"Jim Murphy","102","East Renfrewshire","Labour","1551","3223","2839","http://sexymp.co.uk/mp/446.jpg","S14000021","14418","East Renfrewshire","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"David Burrowes","103","Enfield, Southgate","Conservative","1428","3269","2391","http://sexymp.co.uk/mp/89.jpg","E14000692","65567","Enfield, Southgate","England","80.5","89","84","102","19.4","80","21.8","97","covered_by","E09000010"
"Jeffrey Donaldson","104","Lagan Valley","Democratic Unionist","1723","2760","3011","http://sexymp.co.uk/mp/161.jpg","N06000009","66132","Lagan Valley","Northern Ireland","0","0","0","0","0","0","0","0","no match (Northern Ireland unavailable)",""
"Francis Maude","105","Horsham","Conservative","1553","2915","2577","http://sexymp.co.uk/mp/389.jpg","E14000753","65717","Horsham","England","81.7","20.5","84.30000000000001","76.5","19.85","31.5","21.950000000000003","87","overlapped_by (calculated average)","E07000227,E07000228"
"Jacob Rees-Mogg","106","North East Somerset","Conservative","1546","3152","2762","http://sexymp.co.uk/mp/498.jpg","E14000846","65619","North East Somerset","England","80.6","84","84.4","65","19.4","91","21.9","89","covered_by","E06000022"
"Stephen Twigg","107","Liverpool, West Derby","Labour Co-operative","1515","3181","2666","http://sexymp.co.uk/mp/594.jpg","E14000796","65766","Liverpool, West Derby","England","76.1","341","80.2","341","16.6","343","19.2","341","covered_by","E08000012"
"Chris Evans","108","Islwyn","Labour Co-operative","1349","4419","2821","http://sexymp.co.uk/mp/190.jpg","W07000077","66097","Islwyn","Wales","77.6","299","81.5","309","17.3","319","19.6","324","covered_by","W06000018"
"Michael Fallon","109","Sevenoaks","Conservative","1525","2959","2524","http://sexymp.co.uk/mp/196.jpg","E14000918","65698","Sevenoaks","England","81.5","26","84.4","74","20","19","21.9","88","covered_by","E07000111"
"Liam Fox","110","North Somerset","Conservative","1467","3350","2622","http://sexymp.co.uk/mp/208.jpg","E14000850","65817","North Somerset","England","79.6","173","83.5","147","19.1","129","21.6","131","covered_by","E06000024"
"Kris Hopkins","111","Keighley","Conservative","1590","2922","2722","http://sexymp.co.uk/mp/297.jpg","E14000766","65871","Keighley","England","77.5","310","81.5","310","17.6","301","20.2","303","covered_by","E08000032"
"Nick Hurd","112","Ruislip, Northwood and Pinner","Conservative","1376","3532","2376","http://sexymp.co.uk/mp/310.jpg","E14000906","65681","Ruislip, Northwood and Pinner","England","80.95","75","84.55","79.5","19.85","81","22.45","74.5","overlapped_by (calculated average)","E09000015,E09000017"
"John Leech","113","Manchester, Withington","Liberal Democrat","1526","3161","2699","http://sexymp.co.uk/mp/356.jpg","E14000809","65819","Manchester, Withington","England","74.8","345","79.5","346","15.8","346","18.8","344","covered_by","E08000003"
"Nigel Adams","114","Selby and Ainsty","Conservative","1572","2903","2645","http://sexymp.co.uk/mp/4.jpg","E14000917","65842","Selby and Ainsty","England","80.6","85","83.8","121","19.3","101","21.8","105","overlapped_by (calculated average)","E07000165"
