sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Sadiq Khan","165","Tooting","Labour","1750","2912","3220","http://sexymp.co.uk/mp/340.jpg","E14000998","65554","Tooting","England"
"Ian Murray","166","Edinburgh South","Labour","1563","3030","2672","http://sexymp.co.uk/mp/448.jpg","S14000024","14421","Edinburgh South","Scotland"
"Edward Garnier","167","Harborough","Conservative","1523","2955","2470","http://sexymp.co.uk/mp/218.jpg","E14000728","65675","Harborough","England"
"David Lammy","168","Tottenham","Labour","1535","3201","2721","http://sexymp.co.uk/mp/346.jpg","E14001002","66074","Tottenham","England"
"David Ruttley","169","Macclesfield","Conservative","1478","3128","2440","http://sexymp.co.uk/mp/523.jpg","E14000802","65896","Macclesfield","England"
"Theresa May","170","Maidenhead","Conservative","1564","31231","27721","http://sexymp.co.uk/mp/390.jpg","E14000803","65901","Maidenhead","England"
"John Stevenson","171","Carlisle","Conservative","1646","2882","2841","http://sexymp.co.uk/mp/561.jpg","E14000620","65929","Carlisle","England"
"Alun Cairns","172","Vale of Glamorgan","Conservative","1425","3095","2228","http://sexymp.co.uk/mp/96.jpg","W07000078","66098","Vale of Glamorgan","Wales"
"Alan Campbell","173","Tynemouth","Labour","1648","2799","2762","http://sexymp.co.uk/mp/98.jpg","E14001006","65868","Tynemouth","England"
"Gavin Williamson","174","South Staffordshire","Conservative","1379","3206","2136","http://sexymp.co.uk/mp/631.jpg","E14000945","65943","South Staffordshire","England"
"Stephen Phillips","175","Sleaford and North Hykeham","Conservative","1482","3163","2504","http://sexymp.co.uk/mp/481.jpg","E14000929","65920","Sleaford and North Hykeham","England"
"John Woodcock","176","Barrow and Furness","Labour Co-operative","1529","3139","2664","http://sexymp.co.uk/mp/641.jpg","E14000543","66006","Barrow and Furness","England"
"Conor Burns","177","Bournemouth West","Conservative","1654","2788","2787","http://sexymp.co.uk/mp/87.jpg","E14000585","65933","Bournemouth West","England"
"Barry Gardiner","178","Brent North","Labour","1596","3006","2805","http://sexymp.co.uk/mp/217.jpg","E14000592","65595","Brent North","England"
"Charles Kennedy","179","Ross, Skye and Lochaber","Liberal Democrat","1550","2994","2633","http://sexymp.co.uk/mp/339.jpg","S14000055","14452","Ross, Skye and Lochaber","Scotland"
"Tom Greatrix","180","Rutherglen and Hamilton West","Labour Co-operative","1515","3315","2779","http://sexymp.co.uk/mp/240.jpg","S14000056","14453","Rutherglen and Hamilton West","Scotland"
"Craig Whittacker","181","Calder Valley","Conservative","1429","3074","2257","http://sexymp.co.uk/mp/621.jpg","E14000614","65906","Calder Valley","England"
"Thomas Docherty","182","Dunfermline and West Fife","Labour","1613","2832","2720","http://sexymp.co.uk/mp/158.jpg","S14000017","14414","Dunfermline and West Fife","Scotland"
"Adam Holloway","183","Gravesham","Conservative","1395","3194","2218","http://sexymp.co.uk/mp/294.jpg","E14000715","65944","Gravesham","England"
"Marcus Jones","184","Nuneaton","Conservative","1640","2713","2690","http://sexymp.co.uk/mp/329.jpg","E14000868","65663","Nuneaton","England"
"Jessica Lee","185","Erewash","Conservative","1559","30369","27155","http://sexymp.co.uk/mp/354.jpg","E14000695","65743","Erewash","England"
