sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Nick Boles","160","Grantham and Stamford","Conservative","1399","3328","2421","http://sexymp.co.uk/mp/60.jpg","E14000714","65683","Grantham and Stamford","England"
"Bill Wiggin","161","North Herefordshire","Conservative","1470","3240","2640","http://sexymp.co.uk/mp/624.jpg","E14000847","65642","North Herefordshire","England"
"Gregory Campbell","162","East Londonderry","Democratic Unionist","1575","3058","2886","http://sexymp.co.uk/mp/99.jpg","N06000006","66129","East Londonderry","Northern Ireland"
"John Hayes","163","South Holland and The Deepings","Conservative","1574","3002","2842","http://sexymp.co.uk/mp/272.jpg","E14000939","66051","South Holland and The Deepings","England"
"Peter Bottomley","164","Worthing West","Conservative","1507","3055","2639","http://sexymp.co.uk/mp/62.jpg","E14001055","65562","Worthing West","England"
"Dan Byles","165","North Warwickshire","Conservative","1307","3652","2246","http://sexymp.co.uk/mp/93.jpg","E14000854","66024","North Warwickshire","England"
"Andrew Percy","166","Brigg and Goole","Conservative","1518","2924","2572","http://sexymp.co.uk/mp/478.jpg","E14000596","66000","Brigg and Goole","England"
"Edward Timson","167","Crewe and Nantwich","Conservative","1346","3368","2242","http://sexymp.co.uk/mp/586.jpg","E14000653","65572","Crewe and Nantwich","England"
"John Woodcock","168","Barrow and Furness","Labour Co-operative","1495","3189","2713","http://sexymp.co.uk/mp/641.jpg","E14000543","66006","Barrow and Furness","England"
"Phillip Lee","169","Bracknell","Conservative","1386","3266","2343","http://sexymp.co.uk/mp/355.jpg","E14000586","65697","Bracknell","England"
"Angus MacNiel","170","Na h-Eileanan an Iar","Scottish National Party","1459","3381","2734","http://sexymp.co.uk/mp/381.jpg","S14000027","14444","Na h-Eileanan an Iar","Scotland"
"Khalid Mahmood","171","Birmingham, Perry Barr","Labour","1527","3013","2689","http://sexymp.co.uk/mp/384.jpg","E14000566","66028","Birmingham, Perry Barr","England"
"Hugh Robertson","172","Faversham and Mid Kent","Conservative","1408","3190","2375","http://sexymp.co.uk/mp/509.jpg","E14000700","65764","Faversham and Mid Kent","England"
"Andrew Smith","173","Oxford East","Labour","1573","2920","2771","http://sexymp.co.uk/mp/546.jpg","E14000873","66060","Oxford East","England"
"Nick Smith","174","Blaenau Gwent","Labour","1524","3122","2772","http://sexymp.co.uk/mp/551.jpg","W07000072","66093","Blaenau Gwent","Wales"
"Steve Baker","175","Wycombe","Conservative","1339","3602","2385","http://sexymp.co.uk/mp/24.jpg","E14001056","66010","Wycombe","England"
"James Morris","176","Halesowen and Rowley Regis","Conservative","1340","3607","2388","http://sexymp.co.uk/mp/437.jpg","E14000722","65971","Halesowen and Rowley Regis","England"
"George Hollinberry","177","Meon Valley","Conservative","1382","3358","2404","http://sexymp.co.uk/mp/292.jpg","E14000811","65772","Meon Valley","England"
"Malcom Bruce","178","Gordon","Liberal Democrat","1524","3022","2701","http://sexymp.co.uk/mp/80.jpg","S14000037","14433","Gordon","Scotland"
"Mark Field","179","Cities of London and Westminster","Conservative","1356","3526","2419","http://sexymp.co.uk/mp/201.jpg","E14000639","65759","Cities of London and Westminster","England"
"George Freeman","180","Mid Norfolk","Conservative","1495","3039","2611","http://sexymp.co.uk/mp/211.jpg","E14000816","65949","Mid Norfolk","England"
"Mark Pritchard","181","The Wrekin","Conservative","1475","3100","2588","http://sexymp.co.uk/mp/489.jpg","E14000992","65977","The Wrekin","England"
"Jackie Doyle-Price","182","Thurrock","Conservative","1550","28814","26773","http://sexymp.co.uk/mp/168.jpg","E14000995","65919","Thurrock","England"
"Alan Johnson","183","Kingston upon Hull West and Hessle","Labour","1526","3117","2809","http://sexymp.co.uk/mp/320.jpg","E14000773","65984","Kingston upon Hull West and Hessle","England"
"David Mundell","184","Dumfriesshire, Clydesdale and Tweeddale","Conservative","1523","2969","2661","http://sexymp.co.uk/mp/442.jpg","S14000014","14411","Dumfriesshire, Clydesdale and Tweeddale","Scotland"
"Mark Prisk","185","Hertford and Stortford","Conservative","1492","3028","2597","http://sexymp.co.uk/mp/488.jpg","E14000744","66003","Hertford and Stortford","England"
